,Sample,Cluster
251,TCGA-AN-A0FX-01,8
252,TCGA-AN-A0FY-01,8
253,TCGA-AN-A0FZ-01,1
254,TCGA-AN-A0G0-01,8
255,TCGA-AN-A0XN-01,8
256,TCGA-AN-A0XO-01,8
257,TCGA-AN-A0XP-01,1
258,TCGA-AN-A0XR-01,1
259,TCGA-AN-A0XS-01,8
260,TCGA-AN-A0XT-01,8
261,TCGA-AN-A0XU-01,8
262,TCGA-AN-A0XV-01,8
263,TCGA-AN-A0XW-01,8
264,TCGA-AO-A03L-01,1
265,TCGA-AO-A03O-01,1
266,TCGA-AO-A03P-01,8
267,TCGA-AO-A03R-01,8
268,TCGA-AO-A03T-01,1
269,TCGA-AO-A03V-01,8
270,TCGA-AO-A0J2-01,8
271,TCGA-AO-A0J3-01,1
272,TCGA-AO-A0J4-01,8
273,TCGA-AO-A0J5-01,8
274,TCGA-AO-A0J6-01,8
275,TCGA-AO-A0J7-01,1
276,TCGA-AO-A0J8-01,1
277,TCGA-AO-A0J9-01,8
278,TCGA-AO-A0JA-01,8
279,TCGA-AO-A0JB-01,8
280,TCGA-AO-A0JC-01,4
281,TCGA-AO-A0JD-01,8
282,TCGA-AO-A0JE-01,8
283,TCGA-AO-A0JF-01,8
284,TCGA-AO-A0JI-01,1
285,TCGA-AO-A0JJ-01,8
286,TCGA-AO-A0JM-01,1
287,TCGA-AO-A124-01,8
288,TCGA-AO-A128-01,8
289,TCGA-AO-A12A-01,8
290,TCGA-AO-A12D-01,8
291,TCGA-AO-A12F-01,8
292,TCGA-AO-A12H-01,1
293,TCGA-AO-A1KO-01,8
294,TCGA-AO-A1KP-01,1
295,TCGA-AO-A1KR-01,8
296,TCGA-AO-A1KS-01,1
297,TCGA-AO-A1KT-01,8
298,TCGA-AQ-A04H-01,1
299,TCGA-AQ-A04J-01,8
300,TCGA-AQ-A0Y5-01,8
301,TCGA-AQ-A1H2-01,1
302,TCGA-AQ-A1H3-01,8
303,TCGA-AQ-A54O-01,1
304,TCGA-AR-A0TS-01,8
305,TCGA-AR-A0TU-01,8
306,TCGA-AR-A0TX-01,8
307,TCGA-AR-A0TY-01,1
308,TCGA-AR-A0U0-01,8
309,TCGA-AR-A0U2-01,2
310,TCGA-AR-A0U3-01,1
311,TCGA-AR-A1AH-01,8
312,TCGA-AR-A1AI-01,8
313,TCGA-AR-A1AJ-01,8
314,TCGA-AR-A1AK-01,8
315,TCGA-AR-A1AL-01,8
316,TCGA-AR-A1AN-01,8
317,TCGA-AR-A1AO-01,8
318,TCGA-AR-A1AP-01,8
319,TCGA-AR-A1AQ-01,8
320,TCGA-AR-A1AR-01,8
