,Sample,Cluster
462,TCGA-BH-A0E7-01,7
463,TCGA-BH-A0E9-01,7
464,TCGA-BH-A0EA-01,7
465,TCGA-BH-A0EB-01,7
466,TCGA-BH-A0EE-01,7
467,TCGA-BH-A0EI-01,7
468,TCGA-BH-A0GY-01,7
469,TCGA-BH-A0GZ-01,7
470,TCGA-BH-A0H0-01,7
471,TCGA-BH-A0H3-01,7
472,TCGA-BH-A0H5-01,7
473,TCGA-BH-A0H6-01,7
474,TCGA-BH-A0H7-01,7
475,TCGA-BH-A0H9-01,7
476,TCGA-BH-A0HA-01,7
477,TCGA-BH-A0HB-01,7
478,TCGA-BH-A0HF-01,7
479,TCGA-BH-A0HI-01,7
480,TCGA-BH-A0HK-01,7
481,TCGA-BH-A0HL-01,7
482,TCGA-BH-A0HN-01,7
483,TCGA-BH-A0HO-01,7
484,TCGA-BH-A0HP-01,7
485,TCGA-BH-A0HQ-01,7
486,TCGA-BH-A0HU-01,7
487,TCGA-BH-A0HW-01,7
488,TCGA-BH-A0HX-01,7
489,TCGA-BH-A0HY-01,7
490,TCGA-BH-A0RX-01,7
491,TCGA-BH-A0W3-01,7
492,TCGA-BH-A0W4-01,7
493,TCGA-BH-A0W5-01,7
494,TCGA-BH-A0W7-01,7
495,TCGA-BH-A0WA-01,7
496,TCGA-BH-A18F-01,7
497,TCGA-BH-A18G-01,7
498,TCGA-BH-A18H-01,7
499,TCGA-BH-A18I-01,7
500,TCGA-BH-A18J-01,7
501,TCGA-BH-A18K-01,7
502,TCGA-BH-A18L-01,7
503,TCGA-BH-A18M-01,7
504,TCGA-BH-A18N-01,7
505,TCGA-BH-A18P-01,7
506,TCGA-BH-A18Q-01,7
507,TCGA-BH-A18R-01,7
508,TCGA-BH-A18S-01,7
509,TCGA-BH-A18T-01,7
510,TCGA-BH-A18U-01,7
511,TCGA-BH-A18V-01,7
512,TCGA-BH-A1EN-01,7
513,TCGA-BH-A1EO-01,7
514,TCGA-BH-A1ES-01,7
515,TCGA-BH-A1ET-01,7
516,TCGA-BH-A1EU-01,7
517,TCGA-BH-A1EV-01,7
518,TCGA-BH-A1EW-01,7
519,TCGA-BH-A1EX-01,7
520,TCGA-BH-A1EY-01,7
521,TCGA-BH-A1F0-01,7
522,TCGA-BH-A1F2-01,7
523,TCGA-BH-A1F5-01,7
524,TCGA-BH-A1F6-01,7
525,TCGA-BH-A1F8-01,7
526,TCGA-BH-A1FC-01,7
527,TCGA-BH-A1FD-01,7
528,TCGA-BH-A1FE-01,7
529,TCGA-BH-A1FG-01,7
530,TCGA-BH-A1FH-01,7
531,TCGA-BH-A1FJ-01,7
532,TCGA-BH-A1FL-01,7
533,TCGA-BH-A1FM-01,7
534,TCGA-BH-A1FN-01,7
535,TCGA-BH-A1FR-01,7
536,TCGA-BH-A1FU-01,7
537,TCGA-BH-A201-01,7
538,TCGA-BH-A202-01,7
539,TCGA-BH-A203-01,7
540,TCGA-BH-A204-01,7
541,TCGA-BH-A208-01,7
