,Sample,Cluster
484,TCGA-BH-A0HP-01,2
485,TCGA-BH-A0HQ-01,2
486,TCGA-BH-A0HU-01,2
487,TCGA-BH-A0HW-01,2
488,TCGA-BH-A0HX-01,2
489,TCGA-BH-A0HY-01,2
490,TCGA-BH-A0RX-01,2
491,TCGA-BH-A0W3-01,2
492,TCGA-BH-A0W4-01,2
493,TCGA-BH-A0W5-01,2
494,TCGA-BH-A0W7-01,2
495,TCGA-BH-A0WA-01,2
496,TCGA-BH-A18F-01,2
497,TCGA-BH-A18G-01,2
498,TCGA-BH-A18H-01,2
499,TCGA-BH-A18I-01,2
500,TCGA-BH-A18J-01,2
501,TCGA-BH-A18K-01,2
502,TCGA-BH-A18L-01,2
503,TCGA-BH-A18M-01,2
504,TCGA-BH-A18N-01,2
505,TCGA-BH-A18P-01,2
506,TCGA-BH-A18Q-01,2
507,TCGA-BH-A18R-01,2
508,TCGA-BH-A18S-01,2
509,TCGA-BH-A18T-01,2
510,TCGA-BH-A18U-01,2
511,TCGA-BH-A18V-01,2
512,TCGA-BH-A1EN-01,2
513,TCGA-BH-A1EO-01,2
514,TCGA-BH-A1ES-01,2
515,TCGA-BH-A1ET-01,2
516,TCGA-BH-A1EU-01,2
517,TCGA-BH-A1EV-01,2
518,TCGA-BH-A1EW-01,2
519,TCGA-BH-A1EX-01,2
520,TCGA-BH-A1EY-01,2
521,TCGA-BH-A1F0-01,2
522,TCGA-BH-A1F2-01,2
523,TCGA-BH-A1F5-01,2
524,TCGA-BH-A1F6-01,2
525,TCGA-BH-A1F8-01,2
526,TCGA-BH-A1FC-01,2
527,TCGA-BH-A1FD-01,2
528,TCGA-BH-A1FE-01,2
529,TCGA-BH-A1FG-01,2
530,TCGA-BH-A1FH-01,2
531,TCGA-BH-A1FJ-01,2
532,TCGA-BH-A1FL-01,2
533,TCGA-BH-A1FM-01,2
534,TCGA-BH-A1FN-01,2
535,TCGA-BH-A1FR-01,2
536,TCGA-BH-A1FU-01,2
537,TCGA-BH-A201-01,2
538,TCGA-BH-A202-01,2
539,TCGA-BH-A203-01,2
540,TCGA-BH-A204-01,2
541,TCGA-BH-A208-01,2
542,TCGA-BH-A209-01,2
543,TCGA-BH-A28Q-01,2
544,TCGA-BH-A2L8-01,2
545,TCGA-BH-A42U-01,2
546,TCGA-BH-A42V-01,2
547,TCGA-BH-A5IZ-01,2
548,TCGA-BH-A5J0-01,2
549,TCGA-C8-A12K-01,2
550,TCGA-C8-A12L-01,2
551,TCGA-C8-A12M-01,2
552,TCGA-C8-A12N-01,2
553,TCGA-C8-A12O-01,2
554,TCGA-C8-A12P-01,2
555,TCGA-C8-A12Q-01,2
556,TCGA-C8-A12T-01,2
557,TCGA-C8-A12U-01,2
558,TCGA-C8-A12V-01,2
559,TCGA-C8-A12W-01,2
560,TCGA-C8-A12X-01,2
561,TCGA-C8-A12Y-01,2
562,TCGA-C8-A12Z-01,2
563,TCGA-C8-A130-01,2
564,TCGA-C8-A131-01,2
565,TCGA-C8-A132-01,2
566,TCGA-C8-A133-01,2
567,TCGA-C8-A134-01,2
568,TCGA-C8-A135-01,2
569,TCGA-C8-A137-01,2
570,TCGA-C8-A138-01,2
571,TCGA-C8-A1HE-01,2
572,TCGA-C8-A1HF-01,2
573,TCGA-C8-A1HG-01,2
574,TCGA-C8-A1HI-01,2
575,TCGA-C8-A1HJ-01,2
576,TCGA-C8-A1HK-01,2
577,TCGA-C8-A1HL-01,2
578,TCGA-C8-A1HM-01,2
579,TCGA-C8-A1HN-01,2
580,TCGA-C8-A1HO-01,2
581,TCGA-C8-A26V-01,2
582,TCGA-C8-A26W-01,2
583,TCGA-C8-A26X-01,2
584,TCGA-C8-A26Y-01,2
585,TCGA-C8-A26Z-01,2
586,TCGA-C8-A273-01,2
587,TCGA-C8-A274-01,2
588,TCGA-C8-A275-01,2
589,TCGA-C8-A278-01,2
590,TCGA-C8-A27A-01,2
591,TCGA-C8-A27B-01,2
592,TCGA-C8-A3M7-01,2
593,TCGA-C8-A3M8-01,2
594,TCGA-D8-A13Y-01,2
595,TCGA-D8-A13Z-01,2
596,TCGA-D8-A140-01,2
597,TCGA-D8-A141-01,2
598,TCGA-D8-A142-01,2
599,TCGA-D8-A143-01,2
600,TCGA-D8-A145-01,2
601,TCGA-D8-A146-01,2
602,TCGA-D8-A147-01,2
603,TCGA-D8-A1J8-01,2
604,TCGA-D8-A1J9-01,2
605,TCGA-D8-A1JA-01,2
606,TCGA-D8-A1JB-01,2
607,TCGA-D8-A1JC-01,2
608,TCGA-D8-A1JD-01,2
609,TCGA-D8-A1JE-01,2
610,TCGA-D8-A1JF-01,2
611,TCGA-D8-A1JG-01,2
612,TCGA-D8-A1JH-01,2
613,TCGA-D8-A1JI-01,2
614,TCGA-D8-A1JJ-01,2
615,TCGA-D8-A1JK-01,2
616,TCGA-D8-A1JL-01,2
617,TCGA-D8-A1JM-01,2
618,TCGA-D8-A1JN-01,2
619,TCGA-D8-A1JP-01,2
620,TCGA-D8-A1JS-01,2
621,TCGA-D8-A1JT-01,2
622,TCGA-D8-A1JU-01,2
623,TCGA-D8-A1X5-01,2
624,TCGA-D8-A1X6-01,2
625,TCGA-D8-A1X7-01,2
626,TCGA-D8-A1X8-01,2
627,TCGA-D8-A1X9-01,2
628,TCGA-D8-A1XA-01,2
629,TCGA-D8-A1XB-01,2
630,TCGA-D8-A1XC-01,2
631,TCGA-D8-A1XF-01,2
632,TCGA-D8-A1XG-01,2
633,TCGA-D8-A1XJ-01,2
634,TCGA-D8-A1XK-01,2
635,TCGA-D8-A1XL-01,2
636,TCGA-D8-A1XM-01,2
637,TCGA-D8-A1XO-01,2
638,TCGA-D8-A1XQ-01,2
639,TCGA-D8-A1XR-01,2
640,TCGA-D8-A1XS-01,2
641,TCGA-D8-A1XT-01,2
642,TCGA-D8-A1XU-01,2
643,TCGA-D8-A1XV-01,2
644,TCGA-D8-A1XW-01,2
645,TCGA-D8-A1XY-01,2
646,TCGA-D8-A1XZ-01,2
647,TCGA-D8-A1Y0-01,2
648,TCGA-D8-A1Y1-01,2
649,TCGA-D8-A1Y2-01,2
650,TCGA-D8-A1Y3-01,2
651,TCGA-D8-A27E-01,2
652,TCGA-D8-A27F-01,2
653,TCGA-D8-A27G-01,2
654,TCGA-D8-A27I-01,2
655,TCGA-D8-A27K-01,2
656,TCGA-D8-A27L-01,2
657,TCGA-D8-A27M-01,2
658,TCGA-D8-A27N-01,2
659,TCGA-D8-A27P-01,2
660,TCGA-D8-A27R-01,2
661,TCGA-D8-A27T-01,2
662,TCGA-D8-A27V-01,2
663,TCGA-D8-A27W-01,2
664,TCGA-D8-A3Z6-01,2
665,TCGA-D8-A4Z1-01,2
666,TCGA-E2-A10A-01,2
667,TCGA-E2-A10C-01,2
668,TCGA-E2-A14N-01,2
669,TCGA-E2-A14O-01,2
670,TCGA-E2-A14P-01,2
671,TCGA-E2-A14Q-01,2
672,TCGA-E2-A14R-01,2
673,TCGA-E2-A14T-01,2
674,TCGA-E2-A14V-01,2
675,TCGA-E2-A14W-01,2
676,TCGA-E2-A14X-01,2
677,TCGA-E2-A14Y-01,2
678,TCGA-E2-A14Z-01,2
679,TCGA-E2-A150-01,2
680,TCGA-E2-A152-01,2
681,TCGA-E2-A153-01,2
682,TCGA-E2-A154-01,2
683,TCGA-E2-A155-01,2
684,TCGA-E2-A156-01,2
685,TCGA-E2-A158-01,2
686,TCGA-E2-A159-01,2
687,TCGA-E2-A15A-01,2
688,TCGA-E2-A15C-01,2
689,TCGA-E2-A15D-01,2
690,TCGA-E2-A15E-01,2
691,TCGA-E2-A15G-01,2
692,TCGA-E2-A15H-01,2
693,TCGA-E2-A15I-01,2
694,TCGA-E2-A15J-01,2
695,TCGA-E2-A15K-01,2
696,TCGA-E2-A15L-01,2
697,TCGA-E2-A15M-01,2
698,TCGA-E2-A15O-01,2
699,TCGA-E2-A15P-01,2
700,TCGA-E2-A15R-01,2
701,TCGA-E2-A15S-01,2
702,TCGA-E2-A15T-01,2
703,TCGA-E2-A1AZ-01,2
704,TCGA-E2-A1B0-01,2
705,TCGA-E2-A1B1-01,2
706,TCGA-E2-A1B4-01,2
707,TCGA-E2-A1B5-01,2
708,TCGA-E2-A1B6-01,2
709,TCGA-E2-A1BC-01,2
710,TCGA-E2-A1BD-01,2
711,TCGA-E2-A1IE-01,2
712,TCGA-E2-A1IF-01,2
713,TCGA-E2-A1IG-01,2
714,TCGA-E2-A1IH-01,2
715,TCGA-E2-A1II-01,2
716,TCGA-E2-A1IJ-01,2
717,TCGA-E2-A1IK-01,2
718,TCGA-E2-A1IL-01,2
719,TCGA-E2-A1IN-01,2
720,TCGA-E2-A1IO-01,2
721,TCGA-E2-A1IU-01,2
722,TCGA-E2-A1L6-01,2
723,TCGA-E2-A1L7-01,2
724,TCGA-E2-A1L8-01,2
725,TCGA-E2-A1L9-01,2
726,TCGA-E2-A1LA-01,2
727,TCGA-E2-A1LB-01,2
728,TCGA-E2-A1LG-01,2
729,TCGA-E2-A1LH-01,2
730,TCGA-E2-A1LI-01,2
731,TCGA-E2-A1LK-01,2
732,TCGA-E2-A1LL-01,2
733,TCGA-E2-A1LS-01,2
734,TCGA-E2-A2P6-01,2
735,TCGA-E2-A56Z-01,2
736,TCGA-E2-A570-01,2
737,TCGA-E2-A573-01,2
738,TCGA-E2-A574-01,2
739,TCGA-E9-A1N3-01,2
740,TCGA-E9-A1N4-01,2
741,TCGA-E9-A1N5-01,2
742,TCGA-E9-A1N8-01,2
743,TCGA-E9-A1N9-01,2
744,TCGA-E9-A1NA-01,2
745,TCGA-E9-A1NC-01,2
746,TCGA-E9-A1ND-01,2
747,TCGA-E9-A1NE-01,2
