ClustMethod,Drug,Group_Pair,padj_1,diff,lwr,upr,padj_2
1,AST-1306_2.5_BRD-K26838195-075-04-9,G_3-2,9.62526947034803e-10,0.920037968370515,0.526760664253826,1.3133152724872,3.3811509091589e-06
1,AST-1306_2.5_BRD-K26838195-075-04-9,G_4-2,4.09126767508816e-06,0.711700925195515,0.318423621078826,1.1049782293122,0.00335340754988601
1,AST-1306_2.5_BRD-K26838195-075-04-9,G_6-3,3.43328234897466e-06,-0.746319363940417,-1.15597653395118,-0.336662193929658,0.00291112745931422
1,CH5132799_2.5_BRD-K28352084-001-02-3,G_6-3,1.39270532254487e-05,-0.98785082264625,-1.5610264167036,-0.414675228588903,0.00925565608884245
1,BVD-523_2.5_BRD-K28965160-001-01-1,G_3-1,1.52594242486259e-05,-1.60068450257,-2.53311357119319,-0.668255433946809,0.00983882444874507
1,BVD-523_2.5_BRD-K28965160-001-01-1,G_4-3,9.57227148927764e-05,1.0607452051275,0.389319536971406,1.73217087328359,0.0390667833669033
1,BVD-523_2.5_BRD-K28965160-001-01-1,G_6-3,6.0332755593473e-05,1.03824334351792,0.395402207981861,1.68108447905397,0.0277299494143122
1,BGT226_2.5_BRD-K29415052-050-04-8,G_4-2,5.82327500298074e-06,-1.13517710181034,-1.77112001754494,-0.499234186075738,0.00444004405227271
1,BGT226_2.5_BRD-K29415052-050-04-8,G_5-4,8.81006887092362e-05,3.55593652249999,1.3139719786758,5.79790106632417,0.0361058647502627
1,NH125_2.5_BRD-K31086665-005-04-6,G_3-2,7.84583468097511e-05,-1.08824871843534,-1.77055421967208,-0.405943217198608,0.033120197748985
1,TAK-632_2.5_BRD-K31866293-001-01-6,G_3-1,4.59150295361033e-05,-1.26716301381429,-2.04179973735103,-0.492526290277539,0.0220298071956685
1,TAK-632_2.5_BRD-K31866293-001-01-6,G_3-2,4.58236659728328e-09,-1.15233363532414,-1.66503474913174,-0.639632521516541,1.28774975364454e-05
1,TAK-632_2.5_BRD-K31866293-001-01-6,G_4-3,6.76424805057252e-10,1.32553398865128,0.764167527705619,1.88690044959695,2.48212472501545e-06
1,TAK-632_2.5_BRD-K31866293-001-01-6,G_6-3,1.81289649958671e-10,1.30187988007917,0.767824939340796,1.83593482081754,8.1051306321068e-07
1,AZD8330_2.5_BRD-K37687095-001-06-9,G_3-1,2.81748293495809e-06,-2.384956360825,-3.68434837904555,-1.08556434260445,0.00249659447312259
1,ganetespib_2.5_BRD-K38852836-001-02-1,G_4-1,4.1914078532157e-05,-1.93908605804643,-3.119789447904,-0.758382668188863,0.0207165072174166
